mcode	city_ja	city_ja_kana	lat	lon
13101	千代田区	ちよだく	35.694003	139.753634
13102	中央区	ちゅうおうく	35.670587	139.772003
13103	港区	みなとく	35.658015	139.751596
13104	新宿区	しんじゅくく	35.69389	139.703463
13105	文京区	ぶんきょうく	35.707951	139.752431
13106	台東区	たいとうく	35.712607	139.779984
13107	墨田区	すみだく	35.710724	139.801497
13108	江東区	こうとうく	35.672773	139.817271
13109	品川区	しながわく	35.608837	139.730242
13110	目黒区	めぐろく	35.641263	139.698591
13111	大田区	おおたく	35.56126	139.715987
13112	世田谷区	せたがやく	35.645926	139.652941
13113	渋谷区	しぶやく	35.663824	139.697726
13114	中野区	なかのく	35.707285	139.66383
13115	杉並区	すぎなみく	35.699893	139.636363
13116	豊島区	としまく	35.726136	139.716589
13117	北区	きたく	35.753179	139.733983
13118	荒川区	あらかわく	35.736083	139.783372
13119	板橋区	いたばしく	35.750918	139.709213
13120	練馬区	ねりまく	35.735612	139.652272
13121	足立区	あだちく	35.774892	139.804584
13122	葛飾区	かつしかく	35.742986	139.847408
13123	江戸川区	えどがわく	35.706662	139.868429
13201	八王子市	はちおうじし	35.66657	139.316075
13202	立川市	たちかわし	35.714003	139.407832
13203	武蔵野市	むさしのし	35.717837	139.565938
13204	三鷹市	みたかし	35.682519	139.560134
13205	青梅市	おうめし	35.787857	139.275835
13206	府中市	ふちゅうし	35.669071	139.477278
13207	昭島市	あきしまし	35.705755	139.353609
13208	調布市	ちょうふし	35.650628	139.540683
13209	町田市	まちだし	35.546559	139.438527
13210	小金井市	こがねいし	35.699479	139.502989
13211	小平市	こだいらし	35.728408	139.477909
13212	日野市	ひのし	35.670504	139.395512
13213	東村山市	ひがしむらやまし	35.754625	139.468484
13214	国分寺市	こくぶんじし	35.710751	139.462794
13215	国立市	くにたちし	35.683912	139.441366
13218	福生市	ふっさし	35.738484	139.326868
13219	狛江市	こまえし	35.634914	139.578735
13220	東大和市	ひがしやまとし	35.744714	139.427038
13221	清瀬市	きよせし	35.786053	139.526353
13222	東久留米市	ひがしくるめし	35.757992	139.529673
13223	武蔵村山市	むさしむらやまし	35.754906	139.387422
13224	多摩市	たまし	35.63776	139.44689
13225	稲城市	いなぎし	35.63796	139.50427
13227	羽村市	はむらし	35.767752	139.310549
13228	あきる野市	あきるのし	35.729115	139.293511
13229	西東京市	にしとうきょうし	35.725499	139.538159
13303	瑞穂町	みずほまち	35.771981	139.354285
13305	日の出町	ひのでまち	35.742115	139.257405
13307	檜原村	ひのはらむら	35.726878	139.148728
13308	奥多摩町	おくたままち	35.809521	139.096214
